Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:54:53.434,114364.0,0.002,BTCUSDT
2025-09-30 02:54:53.434,114363.9,0.002,BTCUSDT
2025-09-30 02:54:53.434,114363.9,0.004,BTCUSDT
2025-09-30 02:54:53.434,114363.6,0.037,BTCUSDT
2025-09-30 02:54:53.434,114363.6,0.001,BTCUSDT
2025-09-30 02:54:53.434,114363.6,0.017,BTCUSDT
2025-09-30 02:54:53.434,114363.5,0.002,BTCUSDT
2025-09-30 02:54:53.434,114362.9,0.002,BTCUSDT
2025-09-30 02:54:53.434,114362.8,0.002,BTCUSDT
2025-09-30 02:54:53.672,114362.6,0.065,BTCUSDT
2025-09-30 02:54:53.672,114362.6,0.008,BTCUSDT
2025-09-30 02:54:53.672,114362.6,0.014,BTCUSDT
2025-09-30 02:54:53.672,114362.6,0.004,BTCUSDT
2025-09-30 02:54:53.672,114362.6,0.001,BTCUSDT
2025-09-30 02:54:53.672,114362.6,0.002,BTCUSDT
2025-09-30 02:54:53.672,114362.6,0.002,BTCUSDT
2025-09-30 02:54:53.672,114362.5,0.001,BTCUSDT
2025-09-30 02:54:53.672,114362.5,0.001,BTCUSDT
2025-09-30 02:54:53.672,114362.1,0.001,BTCUSDT
2025-09-30 02:54:53.672,114361.8,0.002,BTCUSDT
2025-09-30 02:54:53.672,114361.7,0.043,BTCUSDT
2025-09-30 02:54:53.672,114361.7,0.002,BTCUSDT
2025-09-30 02:54:53.672,114361.6,0.002,BTCUSDT
2025-09-30 02:54:53.672,114361.5,0.001,BTCUSDT
2025-09-30 02:54:53.672,114361.3,0.002,BTCUSDT
2025-09-30 02:54:53.672,114361.2,0.001,BTCUSDT
2025-09-30 02:54:53.672,114361.2,0.002,BTCUSDT
2025-09-30 02:54:53.672,114360.7,0.027,BTCUSDT
2025-09-30 02:54:53.672,114360.6,0.002,BTCUSDT
2025-09-30 02:54:53.676,114360.4,0.001,BTCUSDT
2025-09-30 02:54:53.863,114360.3,0.001,BTCUSDT
2025-09-30 02:54:53.863,114360.3,0.012,BTCUSDT
2025-09-30 02:54:53.863,114360.3,0.046,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.105,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.174,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.006,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.381,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.242,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.345,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.221,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.297,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.001,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.258,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.071,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.523,BTCUSDT
2025-09-30 02:54:54.075,114360.3,0.076,BTCUSDT
2025-09-30 02:54:54.078,114360.3,0.001,BTCUSDT
2025-09-30 02:54:54.078,114360.3,0.003,BTCUSDT
2025-09-30 02:54:54.078,114360.3,0.003,BTCUSDT
2025-09-30 02:54:54.078,114360.3,0.015,BTCUSDT
2025-09-30 02:54:54.993,114360.3,0.003,BTCUSDT
2025-09-30 02:54:54.993,114360.3,0.001,BTCUSDT
2025-09-30 02:54:54.993,114360.3,0.055,BTCUSDT
2025-09-30 02:54:55.157,114360.3,0.001,BTCUSDT
2025-09-30 02:54:55.228,114360.3,0.017,BTCUSDT
2025-09-30 02:54:55.241,114360.4,0.005,BTCUSDT
2025-09-30 02:54:55.447,114360.3,0.005,BTCUSDT
2025-09-30 02:54:55.502,114360.3,0.011,BTCUSDT
2025-09-30 02:54:55.901,114360.4,0.01,BTCUSDT
2025-09-30 02:54:55.924,114360.4,0.002,BTCUSDT
2025-09-30 02:54:56.089,114360.3,0.058,BTCUSDT
2025-09-30 02:54:56.544,114360.4,0.201,BTCUSDT
2025-09-30 02:54:56.544,114360.4,0.176,BTCUSDT
2025-09-30 02:54:56.733,114360.4,0.001,BTCUSDT
2025-09-30 02:54:57.080,114360.4,0.001,BTCUSDT
2025-09-30 02:54:57.122,114360.3,0.058,BTCUSDT
2025-09-30 02:54:58.084,114360.3,0.057,BTCUSDT
2025-09-30 02:54:58.100,114360.4,0.001,BTCUSDT
2025-09-30 02:54:58.114,114360.4,0.011,BTCUSDT
2025-09-30 02:54:58.226,114360.3,0.019,BTCUSDT
2025-09-30 02:54:58.824,114360.3,0.013,BTCUSDT
2025-09-30 02:54:58.838,114360.3,0.05,BTCUSDT
2025-09-30 02:54:58.893,114360.4,0.003,BTCUSDT
2025-09-30 02:54:58.998,114360.3,0.001,BTCUSDT
2025-09-30 02:54:59.099,114360.3,0.057,BTCUSDT
2025-09-30 02:54:59.175,114360.4,0.001,BTCUSDT
2025-09-30 02:54:59.626,114360.3,0.01,BTCUSDT
2025-09-30 02:54:59.880,114360.3,0.01,BTCUSDT
2025-09-30 02:55:00.012,114360.4,0.014,BTCUSDT
2025-09-30 02:55:00.019,114360.3,0.056,BTCUSDT
2025-09-30 02:55:00.285,114360.4,0.001,BTCUSDT
2025-09-30 02:55:00.292,114360.3,0.009,BTCUSDT
2025-09-30 02:55:00.467,114360.3,0.1,BTCUSDT
